2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=MeasureUnit — отправляю запрос...
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=Account — 155 записей, HTTP 200, 0.2 сек, 41020 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=AccountingCategory — 1 записей, HTTP 200, 0.2 сек, 126 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=TaxCategory — 0 записей, HTTP 200, 0.2 сек, 2 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=DiscountType — 23 записей, HTTP 200, 0.2 сек, 3346 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=CookingPlaceType — 4 записей, HTTP 200, 0.2 сек, 504 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=AlcoholClass — 305 записей, HTTP 200, 0.3 сек, 57378 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=Conception — 5 записей, HTTP 200, 0.2 сек, 619 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=ProductSize — 21 записей, HTTP 200, 0.2 сек, 3367 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=PaymentType — 51 записей, HTTP 200, 0.2 сек, 6982 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=AllergenGroup — 14 записей, HTTP 200, 0.2 сек, 1817 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=OrderType — 7 записей, HTTP 200, 0.2 сек, 1477 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=ProductScale — 7 записей, HTTP 200, 0.2 сек, 867 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=MeasureUnit — 4 записей, HTTP 200, 0.2 сек, 458 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=ScheduleType — 4 записей, HTTP 200, 0.2 сек, 535 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=ProductCategory — 24 записей, HTTP 200, 0.2 сек, 3144 байт
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET entities rootType=AttendanceType — 6 записей, HTTP 200, 0.2 сек, 771 байт
2026-02-26 09:56:13 | INFO     | use_cases.sync | === API: все 16 типов за 1.2 сек ===
2026-02-26 09:56:13 | INFO     | use_cases.sync | [Account] 155 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [AccountingCategory] 1 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [AlcoholClass] 305 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [AllergenGroup] 14 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [AttendanceType] 6 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [Conception] 5 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [CookingPlaceType] 4 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [DiscountType] 23 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [MeasureUnit] 4 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [OrderType] 7 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [PaymentType] 51 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [ProductCategory] 24 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [ProductScale] 7 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [ProductSize] 21 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [ScheduleType] 4 записей
2026-02-26 09:56:13 | INFO     | use_cases.sync | [TaxCategory] 0 записей
2026-02-26 09:56:13 | INFO     | adapters.iiko_api | [API] GET products — 1936 записей, HTTP 200, 0.4 сек, 3079984 байт
2026-02-26 09:56:13 | INFO     | use_cases.sync | [Product] API: 1936 записей за 1.3 сек
2026-02-26 09:56:14 | INFO     | use_cases.sync | [entities_all] Batch: 500 / 631
2026-02-26 09:56:14 | INFO     | use_cases.sync | [entities_all] Batch: 631 / 631
2026-02-26 09:56:14 | INFO     | use_cases.sync | [Product] Batch: 500 / 1936
2026-02-26 09:56:14 | INFO     | use_cases.sync | [Product] Batch: 1000 / 1936
2026-02-26 09:56:14 | INFO     | use_cases.sync | [Product] Batch: 1500 / 1936
2026-02-26 09:56:14 | INFO     | use_cases.sync | [Product] Batch: 1936 / 1936
2026-02-26 09:56:14 | INFO     | use_cases.sync | === Справочники: 16 ok, 0 err | 631 записей, удалено 0 | 2.5 сек (API 1.2 + БД 1.3) ===
2026-02-26 09:56:14 | INFO     | use_cases.sync | [Product] БД: upsert 1936, удалено 0 за 1.2 сек | Итого 2.6 сек
2026-02-26 09:56:14 | INFO     | use_cases.sync | [documents] Фоновая синхронизация номенклатуры + справочников завершена (bg:requests:1028538977)
2026-02-26 09:56:15 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:15 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:16 | INFO     | bot.request_handlers | [request_handlers] start_create_request tg:1028538977
2026-02-26 09:56:17 | INFO     | bot.request_handlers | [request] Старт создания заявки tg:1028538977, dept=fb855535-5d3a-447c-b951-71c3059b705b (PizzaYolo / Пицца Йоло (Московский))
2026-02-26 09:56:17 | INFO     | use_cases.outgoing_invoice | [invoice] Поиск счёта реализации...
2026-02-26 09:56:17 | INFO     | use_cases.outgoing_invoice | [invoice] Счёт реализации: Реализация на точки (9f2f336e-ef5a-49a6-8bc2-6c33be346c23) за 0.24 сек
2026-02-26 09:56:17 | INFO     | adapters.google_sheets | [GSheets] Заведение для заявок из GSheet: 0 за 0.7 сек
2026-02-26 09:56:17 | INFO     | use_cases.product_request | [request] Заведение для заявок из GSheet: 0 шт
2026-02-26 09:56:18 | INFO     | aiogram.event | Update id=520044349 is handled. Duration 3747 ms by bot id=8301059555
2026-02-26 09:56:22 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:22 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:22 | INFO     | bot.request_handlers | [request] Поиск товара tg:1028538977, query='Шу'
2026-02-26 09:56:23 | INFO     | aiogram.event | Update id=520044350 is handled. Duration 990 ms by bot id=8301059555
2026-02-26 09:56:33 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:33 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:33 | INFO     | bot.request_handlers | [request_handlers] choose_request_product tg:1028538977
2026-02-26 09:56:34 | INFO     | aiogram.event | Update id=520044351 is handled. Duration 984 ms by bot id=8301059555
2026-02-26 09:56:42 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:42 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:42 | INFO     | bot.request_handlers | [request] Ввод кол-ва tg:1028538977, raw='3'
2026-02-26 09:56:43 | INFO     | bot.request_handlers | [request] Добавлен товар #1: «Шу ванильные цех» qty=3 порц, price=50.00, source_store=Кухня (Клиническая) → target_store=Кухня (Московский), tg:1028538977
2026-02-26 09:56:43 | INFO     | aiogram.event | Update id=520044352 is handled. Duration 1163 ms by bot id=8301059555
2026-02-26 09:56:47 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:47 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:47 | INFO     | bot.request_handlers | [request] Поиск товара tg:1028538977, query='Шу шоколад'
2026-02-26 09:56:48 | INFO     | aiogram.event | Update id=520044353 is handled. Duration 1006 ms by bot id=8301059555
2026-02-26 09:56:52 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:52 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:52 | INFO     | bot.request_handlers | [request_handlers] choose_request_product tg:1028538977
2026-02-26 09:56:53 | INFO     | aiogram.event | Update id=520044354 is handled. Duration 986 ms by bot id=8301059555
2026-02-26 09:56:55 | INFO     | aiohttp.access | 100.64.0.4 [26/Feb/2026:09:56:55 +0000] "POST /webhook HTTP/1.1" 200 160 "-" "-"
2026-02-26 09:56:55 | INFO     | bot.request_handlers | [request] Ввод кол-ва tg:1028538977, raw='3'
